"";"X";"V1"
"1";1;4
"2";2;4
"3";3;3
"4";4;3
"5";5;2
"6";6;0
"7";7;3
"8";8;0
"9";9;0
"10";10;0
"11";11;2
"12";12;0
"13";13;0
"14";14;0
"15";15;0
"16";16;0
"17";17;0
"18";18;0
"19";19;3
"20";20;0
"21";21;2
"22";22;0
"23";23;0
"24";24;2
"25";25;2
"26";26;0
"27";27;0
"28";28;2
"29";29;2
"30";30;2
"31";31;0
"32";32;2
"33";33;2
"34";34;2
"35";35;0
"36";36;0
"37";37;0
"38";38;0
"39";39;0
"40";40;0
"41";41;0
"42";42;2
"43";43;4
"44";44;2
"45";45;2
"46";46;2
"47";47;0
"48";48;2
"49";49;2
"50";50;2
"51";51;0
"52";52;3
"53";53;2
"54";54;2
"55";55;2
"56";56;2
"57";57;1
"58";58;2
"59";59;2
"60";60;2
"61";61;2
"62";62;2
"63";63;2
"64";64;2
"65";65;3
"66";66;3
"67";67;2
"68";68;2
"69";69;2
"70";70;2
"71";71;4
"72";72;3
"73";73;3
"74";74;3
"75";75;0
"76";76;4
"77";77;0
"78";78;3
"79";79;2
"80";80;2
"81";81;2
"82";82;2
"83";83;2
"84";84;1
"85";85;3
"86";86;4
"87";87;2
"88";88;2
"89";89;3
"90";90;3
"91";91;3
"92";92;3
"93";93;3
"94";94;2
"95";95;3
"96";96;0
"97";97;0
"98";98;2
"99";99;2
"100";100;0
"101";101;0
"102";102;0
"103";103;0
"104";104;0
"105";105;2
"106";106;2
"107";107;2
"108";108;2
"109";109;3
"110";110;2
"111";111;2
"112";112;2
"113";113;4
"114";114;3
"115";115;3
"116";116;4
"117";117;3
"118";118;4
"119";119;4
"120";120;4
"121";121;2
"122";122;3
"123";123;2
"124";124;4
"125";125;4
"126";126;4
"127";127;1
"128";128;4
"129";129;4
"130";130;4
"131";131;4
"132";132;1
"133";133;3
"134";134;3
"135";135;4
"136";136;2
"137";137;2
"138";138;3
"139";139;3
"140";140;2
"141";141;4
"142";142;3
"143";143;0
"144";144;4
"145";145;0
"146";146;3
"147";147;3
"148";148;3
"149";149;3
"150";150;3
"151";151;0
"152";152;2
"153";153;1
"154";154;2
"155";155;0
"156";156;0
"157";157;4
"158";158;1
"159";159;4
"160";160;3
"161";161;0
"162";162;3
"163";163;3
"164";164;0
"165";165;2
"166";166;3
"167";167;3
"168";168;3
"169";169;3
"170";170;4
"171";171;3
"172";172;3
"173";173;3
"174";174;3
"175";175;3
"176";176;3
"177";177;3
"178";178;3
"179";179;3
"180";180;4
"181";181;3
"182";182;1
"183";183;4
"184";184;2
"185";185;4
"186";186;3
"187";187;3
"188";188;3
"189";189;0
"190";190;3
"191";191;4
"192";192;0
"193";193;0
"194";194;0
"195";195;0
"196";196;0
"197";197;3
"198";198;3
"199";199;3
"200";200;3
"201";201;3
"202";202;3
"203";203;3
"204";204;4
"205";205;1
"206";206;2
"207";207;2
"208";208;2
"209";209;2
"210";210;4
"211";211;4
"212";212;3
"213";213;3
"214";214;4
"215";215;4
"216";216;3
"217";217;2
"218";218;3
"219";219;0
"220";220;3
"221";221;4
"222";222;4
"223";223;1
"224";224;4
"225";225;4
"226";226;4
"227";227;4
"228";228;4
"229";229;2
"230";230;2
"231";231;4
"232";232;2
"233";233;3
"234";234;4
"235";235;4
"236";236;3
"237";237;2
"238";238;2
"239";239;2
"240";240;4
"241";241;1
"242";242;1
"243";243;2
"244";244;4
"245";245;1
"246";246;2
"247";247;1
"248";248;2
"249";249;1
"250";250;2
"251";251;2
"252";252;2
"253";253;4
"254";254;2
"255";255;2
"256";256;2
"257";257;1
"258";258;2
"259";259;2
"260";260;2
"261";261;2
"262";262;2
"263";263;2
"264";264;2
"265";265;2
"266";266;4
"267";267;2
"268";268;2
"269";269;2
"270";270;3
"271";271;2
"272";272;2
"273";273;3
"274";274;3
"275";275;3
"276";276;1
"277";277;3
"278";278;2
"279";279;0
"280";280;2
"281";281;2
"282";282;2
"283";283;0
"284";284;0
"285";285;2
"286";286;1
"287";287;2
"288";288;2
"289";289;3
"290";290;2
"291";291;2
"292";292;0
"293";293;0
"294";294;4
"295";295;4
"296";296;4
"297";297;3
"298";298;2
"299";299;2
"300";300;0
"301";301;0
"302";302;0
"303";303;2
"304";304;0
"305";305;4
"306";306;4
"307";307;4
"308";308;3
"309";309;2
"310";310;3
"311";311;3
"312";312;3
"313";313;3
"314";314;3
"315";315;0
"316";316;2
"317";317;3
"318";318;3
"319";319;3
"320";320;1
"321";321;1
"322";322;3
"323";323;3
"324";324;3
"325";325;4
"326";326;3
"327";327;3
"328";328;2
"329";329;2
"330";330;3
"331";331;3
"332";332;2
"333";333;3
"334";334;2
"335";335;0
"336";336;3
"337";337;3
"338";338;3
"339";339;0
"340";340;2
"341";341;3
"342";342;3
"343";343;3
"344";344;3
"345";345;3
"346";346;4
"347";347;4
"348";348;3
"349";349;3
"350";350;3
"351";351;1
"352";352;3
"353";353;2
"354";354;4
"355";355;4
"356";356;4
"357";357;4
"358";358;4
"359";359;4
"360";360;4
"361";361;3
"362";362;2
"363";363;3
"364";364;3
"365";365;3
"366";366;3
"367";367;4
"368";368;4
"369";369;0
"370";370;4
"371";371;4
"372";372;3
"373";373;0
"374";374;4
"375";375;2
"376";376;0
"377";377;1
"378";378;4
"379";379;4
"380";380;4
"381";381;4
"382";382;3
"383";383;4
"384";384;3
"385";385;0
"386";386;4
"387";387;4
"388";388;3
"389";389;0
"390";390;4
"391";391;4
"392";392;2
"393";393;2
"394";394;3
"395";395;4
"396";396;4
"397";397;4
"398";398;4
"399";399;3
"400";400;0
"401";401;0
"402";402;0
"403";403;0
"404";404;0
"405";405;0
"406";406;0
"407";407;4
"408";408;3
"409";409;0
"410";410;0
"411";411;0
"412";412;0
"413";413;0
"414";414;0
"415";415;0
"416";416;3
"417";417;0
"418";418;2
"419";419;0
"420";420;0
"421";421;0
"422";422;0
"423";423;0
"424";424;2
"425";425;3
"426";426;3
"427";427;0
"428";428;2
"429";429;2
"430";430;2
"431";431;3
"432";432;0
"433";433;2
"434";434;4
"435";435;1
"436";436;4
"437";437;0
"438";438;4
"439";439;3
"440";440;2
"441";441;3
"442";442;1
"443";443;0
"444";444;0
"445";445;0
"446";446;2
"447";447;2
"448";448;3
"449";449;3
"450";450;4
"451";451;4
"452";452;2
"453";453;2
"454";454;4
"455";455;2
"456";456;4
"457";457;4
"458";458;4
"459";459;4
"460";460;3
"461";461;4
"462";462;4
"463";463;1
"464";464;3
"465";465;2
"466";466;2
"467";467;4
"468";468;2
"469";469;2
"470";470;4
"471";471;2
"472";472;2
"473";473;0
"474";474;3
"475";475;4
"476";476;2
"477";477;2
"478";478;2
"479";479;4
"480";480;2
"481";481;1
"482";482;1
"483";483;0
"484";484;2
"485";485;2
"486";486;3
"487";487;2
"488";488;3
"489";489;2
"490";490;3
"491";491;4
"492";492;4
"493";493;0
"494";494;2
"495";495;2
"496";496;2
"497";497;3
"498";498;4
"499";499;0
"500";500;0
"501";501;1
"502";502;4
"503";503;0
"504";504;2
"505";505;3
"506";506;3
"507";507;3
"508";508;2
"509";509;4
"510";510;4
"511";511;1
"512";512;2
"513";513;2
"514";514;2
"515";515;2
"516";516;2
"517";517;2
"518";518;2
"519";519;1
"520";520;1
"521";521;1
"522";522;1
"523";523;1
"524";524;2
"525";525;2
"526";526;1
