"";"classe 1";"classe 2";"classe 3";"classe 4"
"yeah";-9,956;5,649;-0,406;0,202
"um";-0,35;13,341;-2,54;-5,11
"person";-0,972;2,894;1,318;-5,497
"uh";-2,542;7,8;-9,457;1,167
"thing";-2,933;0,201;0,692;0,005
"crazy";-3,816;4,272;-1,293;0,097
"guy";-4,645;-15,538;2,851;23,142
"good";3,094;0,127;-3,046;-0,024
"trump";-5,189;-22,955;3,01;34,548
"time";-3,017;-0,154;0,153;2,345
"government";9,919;-3,513;5,532;-7,585
"big";-1,82;13,429;-5,085;-0,962
"bad";-1,275;9,04;-3,987;-0,409
"video";19,606;-3,033;-2,085;-0,038
"kind";-2,804;2,164;1,46;-2,414
"year";-0,013;-0,36;-4,258;8,222
"squirrel";-2,002;-11,521;47,461;-2,722
"state";0,507;-1,458;0;0,672
"talk";-1,02;7,025;-1,918;-0,858
"leave";-4,752;-5,04;17,016;0,145
"happen";-5,283;6,761;-0,126;-0,664
"man";-5,283;6,761;0,952;-4,591
"sort";-4,225;-0,378;0,556;2,92
"phone";86,385;-5,266;-6,373;-6,423
"illegal";-0,441;4,041;-1,568;-0,344
"play";-0,657;1,803;0,022;-1,139
"vote";-1,823;0,056;3,608;-1,094
"put";-3,184;5,607;-0,43;-0,447
"kill";-1,243;-10,786;51,96;-5,524
"woman";-2,5;3,838;-4,303;1,129
"medium";-1,099;-4,848;12,181;0
"car";-0,821;18,013;-4,596;-4,632
"work";2,439;3,598;-5,48;-1,511
"weird";-0,689;9,098;-2,085;-2,113
"real";0,05;-0,21;0,219;-0,012
"democrat";-0,328;-8,82;-1,318;26,62
"watch";-1,391;0,545;-3,443;3,843
"run";0,016;-8,624;-0,577;17,197
"give";-0,277;-1,208;-1,71;9,324
"call";3,788;-2,925;-3,723;5,431
"basically";8,474;0,022;-4,289;-0,302
"sense";0,05;2,033;-0,43;-1,511
"point";-3,702;-0,292;-0,912;10,286
"lie";-2,67;-11,826;-4,596;57,753
"insane";-0,074;-0,318;-4,89;9,642
"war";-3,012;-1,524;-2,891;21,337
"show";0,001;-1,051;3,649;-0,503
"agency";33,425;-3,838;-0,332;-3,748
"twitter";-3,012;0,047;0,001;1,361
"post";-2,33;-7,105;41,925;-4,042
"freedom";-2,16;-6,382;38,276;-3,748
"election";-0,987;-4,374;0,459;6,995
"company";-0,821;13,928;-4,596;-2,38
"back";-0,277;1,435;2,05;-5,823
"stuff";16,344;-1,208;0,113;-5,823
"long";2,05;1,435;-1,71;-1,742
"life";-2,5;9,098;-4,303;-0,038
"totally";-3,184;-0,21;10,734;-1,511
"america";0,001;7,854;-1,824;-4,042
"reason";-2,5;-0,024;5,47;-0,68
"problem";-1,099;16,685;-5,185;-2,926
"literally";1,631;0,021;-2,35;0,082
"great";-0,821;2,833;-0,85;-0,105
"find";-2,5;-0,468;17,894;-4,337
"cuz";1,026;-7,211;3,098;0,349
"bunch";-1,099;-1,524;5,46;0
"win";-0,137;-4,253;13,678;-0,859
"pretty";4,019;2,833;-4,596;-2,38
"president";-0,958;-12,583;-4,89;52,521
"idea";-0,074;-0,318;-0,187;1,769
"fact";-2,16;-6,382;0,603;11,986
"attack";-2,33;-10,319;-4,01;50,393
"world";-0,821;-1,932;11,248;-0,871
"true";-1,991;-1,441;14,256;-1,339
"super";-1,991;8,574;-1,318;-1,339
"stop";-0,821;0,021;-0,85;2,264
"robot";-0,137;9,606;-2,849;-2,871
"hard";3,767;0;0,067;-3,455
"country";3,767;-0,373;-0,198;-0,207
"change";-0,562;5,088;-4,01;-0,003
"wrong";-2,5;-7,833;30,151;-0,68
"top";0;-2,223;1,807;0,174
"push";-0,562;-7,105;26,736;-1,849
"move";1,623;0,726;-3,138;-0,098
"feel";-0,562;2,921;-4,01;0,351
"support";-2,16;-9,569;-0,332;30,1
"start";-2,16;2,083;-0,332;0,008
"speech";-1,32;-5,848;28,786;-2,291
"issue";-1,655;14,022;-2,849;-2,871
"house";-1,991;-1,441;0,926;2,724
"fine";-0,441;-6,382;-0,332;17,113
"create";43,391;-6,382;-3,719;-0,344
"roast";-1,32;-0,066;-2,273;7,686
"pay";5,667;-7,33;-0,843;4,598
"meth";-1,487;8,239;-2,56;-0,636
"lose";-0,016;1,401;0,044;-2,291
"line";-1,991;0;-1,318;5,533
"history";-0,562;7,854;-4,01;-0,503
"hear";-0,064;4,799;-0,623;-2,581
"exist";0,159;-0,144;0,186;-0,098
"drug";0,299;3,273;-2,849;-0,859
"argument";-1,655;-4,253;19,962;-0,859
"wild";-1,823;-2,593;1,358;3,55
