"";"";"";"";"android";""
"1";"android";"2.45239224712017";"-0.589185542554902";"1.4113632675769";"40"
"2";"bankrupt";"2.76846145744925";"-0.74050058194485";"1.26782957416723";"57"
"3";"limit";"2.29435764195564";"-0.513528022859928";"1.11325482741835";"118"
"4";"economic";"2.29435764195564";"-0.513528022859928";"1.11325482741835";"119"
"5";"dissent";"-1.88870111643119";"-2.57099670002999";"1.07064605113702";"133"
"6";"censorship";"-1.33655165404999";"-2.02331942914503";"1.05004288462876";"147"
"7";"banana";"-1.33655165404999";"-2.02331942914503";"1.05004288462876";"148"
"8";"human";"0.872046195474793";"0.167389654394839";"0.974820927698834";"195"
"9";"offer";"2.1363230367911";"-0.437870503164954";"0.973673474118547";"202"
"10";"sentence";"-1.19851428845469";"-1.88640011142378";"0.965921787709497";"211"
"11";"compete";"0.872046195474793";"0.167389654394839";"0.939122371867684";"231"
"12";"catch";"0.872046195474793";"0.167389654394839";"0.939122371867684";"240"
"13";"guess";"0.827464487828165";"0.347296306409909";"0.919641159971256";"256"
"14";"opinion";"1.82025382646202";"-0.286555463775005";"0.907248661304156";"259"
"15";"regulator";"1.82025382646202";"-0.286555463775005";"0.907248661304156";"260"
"16";"power";"1.24584116876349";"0.345207062343824";"0.907248661304156";"261"
"17";"intelligence";"1.24584116876349";"0.345207062343824";"0.907248661304156";"263"
"18";"technology";"0.872046195474793";"0.167389654394839";"0.903500312941886";"281"
"19";"japanese";"0.872046195474793";"0.167389654394839";"0.903500312941886";"283"
"20";"grade";"0.872046195474793";"0.167389654394839";"0.903500312941886";"284"
"21";"steer";"0.872046195474793";"0.167389654394839";"0.903500312941886";"285"
"22";"north";"0.872046195474793";"0.167389654394839";"0.903500312941886";"286"
"23";"music";"0.872046195474793";"0.167389654394839";"0.903500312941886";"287"
"24";"clean";"0.872046195474793";"0.167389654394839";"0.903500312941886";"288"
"25";"country";"0.661118292349597";"-0.170463132709976";"0.893326224530008";"292"
"26";"good";"0.546876276100933";"0.196122372580261";"0.876165418762605";"311"
