"";"";"";"";"we_ve";""
"1";"we_ve";"0.476798360384091";"0.0274863436086894";"1.04320390259255";"106"
"2";"that_s";"0.211573934552398";"-0.236005285223389";"1.02199929186829";"124"
"3";"just";"-0.0419315650318099";"0.128685634331745";"1.02113379755301";"125"
"4";"how";"0.205812756310871";"0.0161647587899653";"1.00590109760415";"131"
"5";"allow";"0.52071478650528";"0.0430311559182617";"0.99560171525237";"132"
"6";"got";"0.436813996022189";"-0.113740834750877";"0.994563122074039";"134"
"7";"we_re";"0.53995670749182";"0.152741971697906";"0.980195916440458";"144"
"8";"some";"0.453798251078823";"-0.208404941144696";"0.974829851685747";"146"
"9";"tell";"-0.195927294943035";"0.477684443787499";"0.956394822770369";"164"
"10";"about";"-0.0175804000731679";"0.372477473200251";"0.953798339824541";"176"
"11";"sure";"0.713850268130897";"-0.0859999359337717";"0.939171485896377";"183"
"12";"same";"0.541303561136772";"-0.257149083085324";"0.939171485896377";"184"
"13";"else";"0.469541640976901";"-0.118641546415896";"0.938479090444156";"185"
"14";"were";"-0.0838354534102936";"-0.307597022396992";"0.937094299539714";"187"
"15";"believe";"-0.306712558749754";"-0.514447616998961";"0.935017113183052";"190"
"16";"wasn_t";"-0.404673792219066";"0.41826117030644";"0.931728234785003";"192"
"17";"have";"0.0486184197218577";"-0.247001976711937";"0.931295487627365";"195"
"18";"exactly";"-0.258033784283707";"0.0227483691835514";"0.929564498996813";"196"
"19";"while";"0.727990853819541";"-0.44032311073258";"0.929218301270703";"200"
"20";"way";"0.187289363772026";"-0.229580705087723";"0.925756324009599";"204"
"21";"18";"-0.139633393065223";"0.125122404404937";"0.915197293363232";"217"
"22";"much";"0.302271395928951";"0.302344061149262";"0.915024194500177";"218"
"23";"around";"-0.293015794071929";"0.505893061005014";"0.91277390928046";"220"
"24";"did";"-0.28877379576158";"0.150540307177687";"0.911216019512963";"222"
"25";"what_s";"-0.251726676460179";"-0.326986915412066";"0.910004327471576";"223"
"26";"go";"0.207429270586813";"-0.217905106279412";"0.907927141114914";"224"
"27";"could";"0.101612293734367";"-0.193374960584243";"0.906109603052835";"225"
"28";"name";"0.296858376809484";"-0.513396499469978";"0.905157559306031";"228"
"29";"having";"0.691250849938911";"-0.122198448837859";"0.905157559306031";"229"
"30";"asking";"0.363015045539751";"0.238808708944329";"0.905157559306031";"230"
"31";"two";"0.311612801285549";"0.115781895691275";"0.903253471812424";"231"
"32";"right";"-0.0722740765813957";"0.136807573041435";"0.898147055352296";"233"
"33";"can";"0.172113980372645";"-0.280703279646926";"0.891569298556198";"239"
"34";"i_ve";"0.60378033612499";"0.0825461354624805";"0.88680907982218";"241"
"35";"different";"0.297030634802103";"-0.221719015029168";"0.88680907982218";"242"
"36";"come";"0.401899379247824";"-0.366062193802216";"0.886030134938432";"244"
"37";"someone";"-0.0224305796264143";"0.500364054193681";"0.881616113930524";"245"
"38";"never";"-0.382528055092413";"0.143183225355659";"0.881616113930524";"246"
"39";"07";"-0.219880466829157";"0.448954378032062";"0.879452378142335";"252"
"40";"try";"-0.219880466829157";"0.448954378032062";"0.879452378142335";"253"
"41";"clearly";"-0.181948031433754";"-0.205685841034895";"0.878500334395531";"256"
"42";"actually";"0.130012493528763";"-0.0401470216847492";"0.877288642354145";"263"
"43";"here";"-0.0930683576213058";"0.0751141156507477";"0.876942444628034";"264"
"44";"whole";"-0.446289898409734";"0.16508223079934";"0.876942444628034";"265"
"45";"those";"0.177980706162098";"0.314140192858881";"0.87564420315512";"267"
"46";"let_s";"0.503687133759556";"0.440692204657038";"0.872528423620127";"268"
"47";"also";"-0.0442143455204951";"0.225339720176433";"0.872528423620127";"269"
"48";"won_t";"0.713850268130897";"-0.0859999359337717";"0.867768204886109";"271"
"49";"somebody";"-0.330899228310755";"-0.286413823201214";"0.86447932648806";"273"
"50";"doesn_t";"-0.0143788210238784";"-0.298194070580018";"0.863354183878201";"274"
"51";"this";"0.0208771820816586";"-0.0104617943293533";"0.859978756048625";"275"
"52";"from";"-0.182684328681139";"-0.0844659096866455";"0.854093394704748";"277"
