"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"103";"734";"14.03";"****";""
"19";"234";" 8.12";"-9.956";"yeah";"0.001603178"
" 0";" 31";" 0.00";"-5.283";"happen";"0.021530147"
" 0";" 31";" 0.00";"-5.283";"man";"0.021530147"
" 1";" 43";" 2.33";"-5.189";"trump";"0.022725887"
" 0";" 28";" 0.00";"-4.752";"leave";"0.029267831"
" 2";" 51";" 3.92";"-4.645";"guy";"0.031147117"
" 0";" 25";" 0.00";"-4.225";"sort";"0.039839245"
" 2";" 46";" 4.35";"-3.816";"crazy";"0.050773190"
" 0";" 22";" 0.00";"-3.702";"point";"0.054344456"
" 0";" 19";" 0.00";"-3.184";"put";"0.074369681"
" 0";" 19";" 0.00";"-3.184";"totally";"0.074369681"
" 2";" 41";" 4.88";"-3.017";"time";"0.082402719"
" 0";" 18";" 0.00";"-3.012";"war";"0.082647270"
" 0";" 18";" 0.00";"-3.012";"twitter";"0.082647270"
"11";"121";" 9.09";"-2.933";"thing";"0.086785096"
" 1";" 29";" 3.45";"-2.804";"kind";"0.094034479"
" 0";" 16";" 0.00";"-2.670";"lie";"0.102260684"
"15";"150";"10.00";"-2.542";"uh";"0.110888904"
" 0";" 15";" 0.00";"-2.500";"woman";"0.113876975"
" 0";" 15";" 0.00";"-2.500";"life";"0.113876975"
" 0";" 15";" 0.00";"-2.500";"reason";"0.113876975"
" 0";" 15";" 0.00";"-2.500";"find";"0.113876975"
" 0";" 15";" 0.00";"-2.500";"wrong";"0.113876975"
" 0";" 14";" 0.00";"-2.330";"post";"0.126926571"
" 0";" 14";" 0.00";"-2.330";"attack";"0.126926571"
" 0";" 13";" 0.00";"-2.160";"freedom";"0.141617980"
" 0";" 13";" 0.00";"-2.160";"fact";"0.141617980"
" 0";" 13";" 0.00";"-2.160";"support";"0.141617980"
" 0";" 13";" 0.00";"-2.160";"start";"0.141617980"
" 1";" 24";" 4.17";"-2.002";"squirrel";"0.157094027"
"*****";"*";"*";"*";"*";"*"
" 1";" 50";" 2.00";"-6.440";"yes";"0.01116013"
" 8";"112";" 7.14";"-5.201";"mean";"0.02257690"
" 1";" 39";" 2.56";"-4.491";"any";"0.03407812"
" 0";" 26";" 0.00";"-4.400";"too";"0.03594078"
"50";"419";"11.93";"-3.568";"you";"0.05892023"
"31";"279";"11.11";"-3.185";"is";"0.07433619"
" 0";" 19";" 0.00";"-3.184";"only";"0.07436968"
" 1";" 31";" 3.23";"-3.133";"whole";"0.07669897"
"10";"112";" 8.93";"-2.854";"not";"0.09113273"
" 0";" 16";" 0.00";"-2.670";"she";"0.10226068"
" 7";" 83";" 8.43";"-2.432";"don_t";"0.11889376"
" 0";" 14";" 0.00";"-2.330";"over";"0.12692657"
" 6";" 73";" 8.22";"-2.271";"about";"0.13181299"
" 2";" 36";" 5.56";"-2.255";"saying";"0.13317406"
" 8";" 90";" 8.89";"-2.250";"well";"0.13362991"
"23";"209";"11.00";"-2.221";"in";"0.13616886"
" 0";" 13";" 0.00";"-2.160";"somebody";"0.14161798"
"*";"*";"*";"*";"*";"*"
"**";"classe";"2";"**";"";""
"****";"308";"734";"41.96";"****";""
"3";"43";" 6.98";"-22.955";"trump";"1.658044e-06"
"8";"51";"15.69";"-15.538";"guy";"8.088352e-05"
"0";"17";" 0.00";"-12.583";"president";"3.893755e-04"
"0";"16";" 0.00";"-11.826";"lie";"5.841374e-04"
"2";"24";" 8.33";"-11.521";"squirrel";"6.880839e-04"
"1";"19";" 5.26";"-10.786";"kill";"1.022483e-03"
"0";"14";" 0.00";"-10.319";"attack";"1.316759e-03"
"0";"13";" 0.00";" -9.569";"support";"1.979411e-03"
"0";"12";" 0.00";" -8.820";"democrat";"2.979048e-03"
"2";"20";"10.00";" -8.624";"run";"3.317090e-03"
"1";"15";" 6.67";" -7.833";"wrong";"5.130444e-03"
"0";"10";" 0.00";" -7.330";"pay";"6.781647e-03"
"0";"10";" 0.00";" -7.330";"misinformation";"6.781647e-03"
"2";"18";"11.11";" -7.211";"cuz";"7.244265e-03"
"1";"14";" 7.14";" -7.105";"post";"7.687498e-03"
"1";"14";" 7.14";" -7.105";"push";"7.687498e-03"
"1";"13";" 7.69";" -6.382";"freedom";"1.152874e-02"
"1";"13";" 7.69";" -6.382";"fact";"1.152874e-02"
"1";"13";" 7.69";" -6.382";"fine";"1.152874e-02"
"1";"13";" 7.69";" -6.382";"create";"1.152874e-02"
"0";" 8";" 0.00";" -5.848";"speech";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"kick";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"debate";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"correct";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"primary";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"organization";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"hoax";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"hate";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"campaign";"1.559677e-02"
"0";" 8";" 0.00";" -5.848";"biden";"1.559677e-02"
"4";"22";"18.18";" -5.266";"phone";"2.174370e-02"
"0";" 7";" 0.00";" -5.110";"community";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"john";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"virus";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"total";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"service";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"full";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"dog";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"actual";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"send";"2.379156e-02"
"0";" 7";" 0.00";" -5.110";"remember";"2.379156e-02"
"6";"28";"21.43";" -5.040";"leave";"2.477390e-02"
"1";"11";" 9.09";" -4.955";"information";"2.602169e-02"
"1";"11";" 9.09";" -4.955";"control";"2.602169e-02"
"3";"18";"16.67";" -4.848";"medium";"2.767812e-02"
"0";" 6";" 0.00";" -4.374";"election";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"party";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"note";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"amount";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"ton";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"month";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"liz";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"theory";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"stick";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"fight";"3.649592e-02"
"0";" 6";" 0.00";" -4.374";"conspiracy";"3.649592e-02"
"1";"10";"10.00";" -4.253";"win";"3.919059e-02"
"1";"10";"10.00";" -4.253";"argument";"3.919059e-02"
"1";"10";"10.00";" -4.253";"youtube";"3.919059e-02"
"1";"10";"10.00";" -4.253";"social";"3.919059e-02"
"1";"10";"10.00";" -4.253";"research";"3.919059e-02"
"2";"13";"15.38";" -3.838";"agency";"5.008988e-02"
"0";" 5";" 0.00";" -3.640";"law";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"signal";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"podcast";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"cheney";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"cell";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"attention";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"white";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"deploy";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"check";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"boycott";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"boy";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"ago";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"warmonger";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"version";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"uk";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"suppress";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"hide";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"front";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"forever";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"evidence";"5.641311e-02"
"0";" 5";" 0.00";" -3.640";"dinner";"5.641311e-02"
"1";" 9";"11.11";" -3.561";"she_s";"5.915454e-02"
"1";" 9";"11.11";" -3.561";"hey";"5.915454e-02"
"1";" 9";"11.11";" -3.561";"week";"5.915454e-02"
"9";"34";"26.47";" -3.513";"government";"6.088782e-02"
"2";"12";"16.67";" -3.205";"level";"7.340700e-02"
"3";"15";"20.00";" -3.033";"video";"8.160256e-02"
"5";"21";"23.81";" -2.925";"call";"8.721851e-02"
"0";" 4";" 0.00";" -2.908";"puppet";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"minute";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"legacy";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"wait";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"text";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"kamala";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"joe";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"iphone";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"force";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"death";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"angry";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"step";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"remove";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"link";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"department";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"claim";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"view";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"product";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"pain";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"online";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"maximize";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"leftwing";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"jail";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"hillary";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"gain";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"feed";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"couple";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"counter";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"correspondence";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"child";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"center";"8.814847e-02"
"0";" 4";" 0.00";" -2.908";"action";"8.814847e-02"
"1";" 8";"12.50";" -2.883";"pet";"8.953508e-02"
"1";" 8";"12.50";" -2.883";"free";"8.953508e-02"
"1";" 8";"12.50";" -2.883";"amendment";"8.953508e-02"
"1";" 8";"12.50";" -2.883";"propaganda";"8.953508e-02"
"1";" 8";"12.50";" -2.883";"giant";"8.953508e-02"
"1";" 8";"12.50";" -2.883";"bring";"8.953508e-02"
"1";" 8";"12.50";" -2.883";"live";"8.953508e-02"
"2";"11";"18.18";" -2.593";"wild";"1.073350e-01"
"2";"11";"18.18";" -2.593";"money";"1.073350e-01"
"1";" 7";"14.29";" -2.223";"top";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"turn";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"function";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"democracy";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"obama";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"republican";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"flat";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"dollar";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"sit";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"govern";"1.359853e-01"
"1";" 7";"14.29";" -2.223";"complete";"1.359853e-01"
"0";" 3";" 0.00";" -2.178";"small";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"troop";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"neighbor";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"anti";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"wick";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"vice";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"profit";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"platform";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"machine";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"list";"1.400040e-01"
"0";" 3";" 0.00";" -2.178";"kamla";"1.400040e-01"
