yeah;19;113;48;54
um;23;97;32;29
person;23;91;48;31
uh;15;78;19;38
thing;11;53;30;27
crazy;2;26;7;11
guy;2;8;16;25
good;9;17;4;8
trump;1;3;14;25
time;2;16;10;13
government;11;9;13;1
big;2;24;2;5
bad;2;20;2;5
video;8;3;1;3
kind;1;16;9;3
year;4;11;2;13
squirrel;1;2;19;2
state;2;2;2;3
talk;2;18;3;4
leave;0;6;15;7
happen;0;20;6;5
man;0;20;9;2
sort;0;9;7;9
phone;18;4;0;0
illegal;1;9;1;2
play;0;3;1;0
vote;0;5;5;1
put;0;13;3;3
kill;1;1;17;0
woman;0;10;0;5
medium;1;3;10;4
car;1;15;0;0
work;5;12;0;2
weird;1;12;1;1
real;3;7;5;4
democrat;1;0;1;10
watch;1;10;1;8
run;3;2;3;12
give;2;6;2;10
call;6;5;1;9
basically;8;10;1;4
sense;3;11;3;2
point;0;8;3;11
lie;0;0;0;16
insane;2;6;0;9
war;0;5;1;12
show;2;4;6;2
agency;9;2;2;0
twitter;0;8;4;6
post;0;1;13;0
freedom;0;1;12;0
election;0;0;2;4
company;1;14;0;1
back;2;11;7;0
stuff;9;6;5;0
long;5;11;2;2
life;0;12;0;3
totally;0;7;10;2
america;2;11;1;0
reason;0;6;7;2
problem;1;16;0;1
literally;4;7;1;4
great;1;10;2;3
find;0;5;10;0
cuz;4;2;7;5
bunch;1;5;8;4
win;1;1;7;1
pretty;5;10;0;1
president;1;0;0;16
idea;2;6;3;6
fact;0;1;4;8
attack;0;0;0;14
world;1;4;9;2
true;0;3;8;1
super;0;10;1;1
stop;1;7;2;6
robot;1;9;0;0
hard;4;5;3;0
country;4;4;2;2
change;1;10;0;3
wrong;0;1;12;2
top;1;1;3;2
push;1;1;11;1
move;3;6;0;2
feel;1;9;0;4
support;0;0;2;11
start;0;8;2;3
speech;0;0;8;0
issue;0;10;0;0
house;0;3;4;5
fine;1;1;2;9
create;10;1;0;2
roast;0;3;0;5
pay;4;0;1;5
meth;0;8;0;1
lose;1;5;2;0
line;0;5;1;6
history;1;11;0;2
hear;1;7;1;0
exist;2;4;3;2
drug;2;7;0;1
argument;0;1;8;1
wild;0;2;4;5
turn;2;1;0;4
pet;0;1;7;0
numb;2;7;2;0
movie;4;2;3;1
money;9;2;0;0
level;4;2;3;3
interest;4;6;0;0
information;3;1;7;0
hour;1;5;1;4
high;1;7;0;0
control;1;1;7;2
she_s;0;1;0;8
free;1;1;3;3
essentially;1;11;0;0
deal;0;9;0;0
day;0;7;1;1
build;1;8;0;0
base;2;3;3;0
account;0;3;6;0
youtube;5;1;0;4
walk;0;9;1;0
understand;0;2;5;2
term;3;4;0;1
system;1;7;1;1
social;1;1;7;1
sleep;0;6;0;0
research;1;1;5;3
release;1;2;4;1
place;0;2;6;2
party;0;0;4;2
note;0;0;6;0
misinformation;0;0;10;0
love;1;5;1;2
legal;1;4;2;1
