"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;7;8;11;11;11;17;19
"2";2;5;7;8;11;11;11;17;19
"3";2;5;7;8;11;11;11;17;18
"4";2;5;7;8;11;11;11;17;18
"5";2;5;7;8;10;12;15;15;15
"6";2;4;4;4;4;4;4;4;4
"7";2;5;7;8;11;11;11;17;18
"8";2;4;4;4;4;4;4;4;4
"9";2;4;4;4;4;4;4;4;4
"10";2;4;4;4;4;4;4;4;4
"11";2;5;7;8;10;12;15;15;15
"12";2;4;4;4;4;4;4;4;4
"13";2;4;4;4;4;4;4;4;4
"14";2;4;4;4;4;4;4;4;4
"15";2;4;4;4;4;4;4;4;4
"16";2;4;4;4;4;4;4;4;4
"17";2;4;4;4;4;4;4;4;4
"18";2;4;4;4;4;4;4;4;4
"19";2;5;7;8;11;11;11;17;18
"20";2;4;4;4;4;4;4;4;4
"21";2;5;7;8;10;12;15;15;15
"22";2;4;4;4;4;4;4;4;4
"23";2;4;4;4;4;4;4;4;4
"24";2;5;7;8;10;12;15;15;15
"25";2;5;7;8;10;12;15;15;15
"26";2;4;4;4;4;4;4;4;4
"27";2;4;4;4;4;4;4;4;4
"28";2;5;7;8;10;12;15;15;15
"29";2;5;7;8;10;12;15;15;15
"30";2;5;7;8;10;12;15;15;15
"31";2;4;4;4;4;4;4;4;4
"32";2;5;7;8;10;12;15;15;15
"33";2;5;7;8;10;12;15;15;15
"34";2;5;7;8;10;12;15;15;15
"35";2;4;4;4;4;4;4;4;4
"36";2;4;4;4;4;4;4;4;4
"37";2;4;4;4;4;4;4;4;4
"38";2;4;4;4;4;4;4;4;4
"39";2;4;4;4;4;4;4;4;4
"40";2;4;4;4;4;4;4;4;4
"41";2;4;4;4;4;4;4;4;4
"42";2;5;7;8;10;12;15;15;15
"43";2;5;7;8;11;11;11;17;19
"44";2;5;7;8;10;12;15;15;15
"45";2;5;7;8;10;12;15;15;15
"46";2;5;7;8;10;12;15;15;15
"47";2;4;4;4;4;4;4;4;4
"48";2;5;7;8;10;12;15;15;15
"49";2;5;7;8;10;12;15;15;15
"50";2;5;7;8;10;12;15;15;15
"51";2;4;4;4;4;4;4;4;4
"52";2;5;7;8;11;11;11;17;18
"53";2;5;7;8;10;12;15;15;15
"54";2;5;7;8;10;12;15;15;15
"55";2;5;7;8;10;12;15;15;15
"56";2;5;7;8;10;12;15;15;15
"57";2;5;7;8;10;12;14;14;14
"58";2;5;7;8;10;12;15;15;15
"59";2;5;7;8;10;12;15;15;15
"60";2;5;7;8;10;12;15;15;15
"61";2;5;7;8;10;12;15;15;15
"62";2;5;7;8;10;12;15;15;15
"63";2;5;7;8;10;12;15;15;15
"64";2;5;7;8;10;12;15;15;15
"65";2;5;7;8;11;11;11;17;18
"66";2;5;7;8;11;11;11;17;18
"67";2;5;7;8;10;12;15;15;15
"68";2;5;7;8;10;12;15;15;15
"69";2;5;7;8;10;12;15;15;15
"70";2;5;7;8;10;12;15;15;15
"71";2;5;7;8;11;11;11;17;19
"72";2;5;7;8;11;11;11;17;18
"73";2;5;7;8;11;11;11;17;18
"74";2;5;7;8;11;11;11;17;18
"75";2;5;7;8;10;13;13;13;13
"76";2;5;7;8;11;11;11;17;19
"77";2;5;7;8;11;11;11;16;16
"78";2;5;7;8;11;11;11;17;18
"79";2;5;7;8;10;12;15;15;15
"80";2;5;7;8;10;12;15;15;15
"81";2;5;7;8;10;12;15;15;15
"82";2;5;7;8;10;12;15;15;15
"83";2;5;7;8;10;12;15;15;15
"84";2;5;7;8;10;12;14;14;14
"85";2;5;7;8;11;11;11;17;18
"86";2;5;7;8;11;11;11;17;19
"87";2;5;7;8;10;12;15;15;15
"88";2;5;7;8;10;12;15;15;15
"89";2;5;7;8;11;11;11;17;18
"90";2;5;7;8;11;11;11;17;18
"91";2;5;7;8;11;11;11;17;18
"92";2;5;7;8;11;11;11;17;18
"93";2;5;7;8;11;11;11;17;18
"94";2;5;7;8;10;12;15;15;15
"95";2;5;7;8;11;11;11;17;18
"96";3;3;3;3;3;3;3;3;3
"97";3;3;3;3;3;3;3;3;3
"98";2;5;7;8;10;12;15;15;15
"99";2;5;7;8;10;12;15;15;15
"100";3;3;3;3;3;3;3;3;3
"101";3;3;3;3;3;3;3;3;3
"102";3;3;3;3;3;3;3;3;3
"103";3;3;3;3;3;3;3;3;3
"104";3;3;3;3;3;3;3;3;3
"105";2;5;7;8;10;12;15;15;15
"106";2;5;7;8;10;12;15;15;15
"107";2;5;7;8;10;12;15;15;15
"108";2;5;7;8;10;12;15;15;15
"109";2;5;7;8;11;11;11;17;18
"110";2;5;7;8;10;12;15;15;15
"111";2;5;7;8;10;12;15;15;15
"112";2;5;7;8;10;12;15;15;15
"113";2;5;7;8;11;11;11;17;19
"114";2;5;7;8;11;11;11;17;18
"115";2;5;7;8;11;11;11;17;18
"116";2;5;7;8;11;11;11;17;19
"117";2;5;7;8;11;11;11;17;18
"118";2;5;7;8;11;11;11;17;19
"119";2;5;7;8;11;11;11;17;19
"120";2;5;7;8;11;11;11;17;19
"121";2;5;7;8;10;12;15;15;15
"122";2;5;7;8;11;11;11;17;18
"123";2;5;7;8;10;12;15;15;15
"124";2;5;7;8;11;11;11;17;19
"125";2;5;7;8;11;11;11;17;19
"126";2;5;7;8;11;11;11;17;19
"127";2;5;7;8;10;12;14;14;14
"128";2;5;7;8;11;11;11;17;19
"129";2;5;7;8;11;11;11;17;19
"130";2;5;7;8;11;11;11;17;19
"131";2;5;7;8;11;11;11;17;19
"132";2;5;7;8;10;12;14;14;14
"133";2;5;7;8;11;11;11;17;18
"134";2;5;7;8;11;11;11;17;18
"135";2;5;7;8;11;11;11;17;19
"136";2;5;7;8;10;12;15;15;15
"137";2;5;7;8;10;12;15;15;15
"138";2;5;7;8;11;11;11;17;18
"139";2;5;7;8;11;11;11;17;18
"140";2;5;7;8;10;12;15;15;15
"141";2;5;7;8;11;11;11;17;19
"142";2;5;7;8;11;11;11;17;18
"143";2;4;4;4;4;4;4;4;4
"144";2;5;7;8;11;11;11;17;19
"145";2;4;4;4;4;4;4;4;4
"146";2;5;7;8;11;11;11;17;18
"147";2;5;7;8;11;11;11;17;18
"148";2;5;7;8;11;11;11;17;18
"149";2;5;7;8;11;11;11;17;18
"150";2;5;7;8;11;11;11;17;18
"151";2;4;4;4;4;4;4;4;4
"152";2;5;7;8;10;12;15;15;15
"153";2;5;7;8;10;12;14;14;14
"154";2;5;7;8;10;12;15;15;15
"155";2;5;7;8;11;11;11;16;16
"156";2;5;7;8;11;11;11;16;16
"157";2;5;7;8;11;11;11;17;19
"158";2;5;7;8;10;12;14;14;14
"159";2;5;7;8;11;11;11;17;19
"160";2;5;7;8;11;11;11;17;18
"161";2;5;7;8;10;13;13;13;13
"162";2;5;7;8;11;11;11;17;18
"163";2;5;7;8;11;11;11;17;18
"164";2;5;7;8;11;11;11;16;16
"165";2;5;7;8;10;12;15;15;15
"166";2;5;7;8;11;11;11;17;18
"167";2;5;7;8;11;11;11;17;18
"168";2;5;7;8;11;11;11;17;18
"169";2;5;7;8;11;11;11;17;18
"170";2;5;7;8;11;11;11;17;19
"171";2;5;7;8;11;11;11;17;18
"172";2;5;7;8;11;11;11;17;18
"173";2;5;7;8;11;11;11;17;18
"174";2;5;7;8;11;11;11;17;18
"175";2;5;7;8;11;11;11;17;18
"176";2;5;7;8;11;11;11;17;18
"177";2;5;7;8;11;11;11;17;18
"178";2;5;7;8;11;11;11;17;18
"179";2;5;7;8;11;11;11;17;18
"180";2;5;7;8;11;11;11;17;19
"181";2;5;7;8;11;11;11;17;18
"182";2;5;7;8;10;12;14;14;14
"183";2;5;7;8;11;11;11;17;19
"184";2;5;7;8;10;12;15;15;15
"185";2;5;7;8;11;11;11;17;19
"186";2;5;7;8;11;11;11;17;18
"187";2;5;7;8;11;11;11;17;18
"188";2;5;7;8;11;11;11;17;18
"189";2;4;4;4;4;4;4;4;4
"190";2;5;7;8;11;11;11;17;18
"191";2;5;7;8;11;11;11;17;19
"192";2;5;6;6;6;6;6;6;6
"193";2;5;6;6;6;6;6;6;6
"194";2;5;6;6;6;6;6;6;6
"195";2;5;6;6;6;6;6;6;6
"196";2;5;6;6;6;6;6;6;6
"197";2;5;7;8;11;11;11;17;18
"198";2;5;7;8;11;11;11;17;18
"199";2;5;7;8;11;11;11;17;18
"200";2;5;7;8;11;11;11;17;18
"201";2;5;7;8;11;11;11;17;18
"202";2;5;7;8;11;11;11;17;18
"203";2;5;7;8;11;11;11;17;18
"204";2;5;7;8;11;11;11;17;19
"205";2;5;7;8;10;12;14;14;14
"206";2;5;7;8;10;12;15;15;15
"207";2;5;7;8;10;12;15;15;15
"208";2;5;7;8;10;12;15;15;15
"209";2;5;7;8;10;12;15;15;15
"210";2;5;7;8;11;11;11;17;19
"211";2;5;7;8;11;11;11;17;19
"212";2;5;7;8;11;11;11;17;18
"213";2;5;7;8;11;11;11;17;18
"214";2;5;7;8;11;11;11;17;19
"215";2;5;7;8;11;11;11;17;19
"216";2;5;7;8;11;11;11;17;18
"217";2;5;7;8;10;12;15;15;15
"218";2;5;7;8;11;11;11;17;18
"219";2;5;7;8;10;13;13;13;13
"220";2;5;7;8;11;11;11;17;18
"221";2;5;7;8;11;11;11;17;19
"222";2;5;7;8;11;11;11;17;19
"223";2;5;7;8;10;12;14;14;14
"224";2;5;7;8;11;11;11;17;19
"225";2;5;7;8;11;11;11;17;19
"226";2;5;7;8;11;11;11;17;19
"227";2;5;7;8;11;11;11;17;19
"228";2;5;7;8;11;11;11;17;19
"229";2;5;7;8;10;12;15;15;15
"230";2;5;7;8;10;12;15;15;15
"231";2;5;7;8;11;11;11;17;19
"232";2;5;7;8;10;12;15;15;15
"233";2;5;7;8;11;11;11;17;18
"234";2;5;7;8;11;11;11;17;19
"235";2;5;7;8;11;11;11;17;19
"236";2;5;7;8;11;11;11;17;18
"237";2;5;7;8;10;12;15;15;15
"238";2;5;7;8;10;12;15;15;15
"239";2;5;7;8;10;12;15;15;15
"240";2;5;7;8;11;11;11;17;19
"241";2;5;7;8;10;12;14;14;14
"242";2;5;7;8;10;12;14;14;14
"243";2;5;7;8;10;12;15;15;15
"244";2;5;7;8;11;11;11;17;19
"245";2;5;7;8;10;12;14;14;14
"246";2;5;7;8;10;12;15;15;15
"247";2;5;7;8;10;12;14;14;14
"248";2;5;7;8;10;12;15;15;15
"249";2;5;7;8;10;12;14;14;14
"250";2;5;7;8;10;12;15;15;15
"251";2;5;7;8;10;12;15;15;15
"252";2;5;7;8;10;12;15;15;15
"253";2;5;7;8;11;11;11;17;19
"254";2;5;7;8;10;12;15;15;15
"255";2;5;7;8;10;12;15;15;15
"256";2;5;7;8;10;12;15;15;15
"257";2;5;7;8;10;12;14;14;14
"258";2;5;7;8;10;12;15;15;15
"259";2;5;7;8;10;12;15;15;15
"260";2;5;7;8;10;12;15;15;15
"261";2;5;7;8;10;12;15;15;15
"262";2;5;7;8;10;12;15;15;15
"263";2;5;7;8;10;12;15;15;15
"264";2;5;7;8;10;12;15;15;15
"265";2;5;7;8;10;12;15;15;15
"266";2;5;7;8;11;11;11;17;19
"267";2;5;7;8;10;12;15;15;15
"268";2;5;7;8;10;12;15;15;15
"269";2;5;7;8;10;12;15;15;15
"270";2;5;7;8;11;11;11;17;18
"271";2;5;7;8;10;12;15;15;15
"272";2;5;7;8;10;12;15;15;15
"273";2;5;7;8;11;11;11;17;18
"274";2;5;7;8;11;11;11;17;18
"275";2;5;7;8;11;11;11;17;18
"276";2;5;7;8;10;12;14;14;14
"277";2;5;7;8;11;11;11;17;18
"278";2;5;7;8;10;12;15;15;15
"279";2;5;7;8;10;13;13;13;13
"280";2;5;7;8;10;12;15;15;15
"281";2;5;7;8;10;12;15;15;15
"282";2;5;7;8;10;12;15;15;15
"283";2;4;4;4;4;4;4;4;4
"284";2;5;7;8;10;13;13;13;13
"285";2;5;7;8;10;12;15;15;15
"286";2;5;7;8;10;12;14;14;14
"287";2;5;7;8;10;12;15;15;15
"288";2;5;7;8;10;12;15;15;15
"289";2;5;7;8;11;11;11;17;18
"290";2;5;7;8;10;12;15;15;15
"291";2;5;7;8;10;12;15;15;15
"292";2;5;7;8;10;13;13;13;13
"293";2;5;7;8;10;13;13;13;13
"294";2;5;7;8;11;11;11;17;19
"295";2;5;7;8;11;11;11;17;19
"296";2;5;7;8;11;11;11;17;19
"297";2;5;7;8;11;11;11;17;18
"298";2;5;7;8;10;12;15;15;15
"299";2;5;7;8;10;12;15;15;15
"300";2;4;4;4;4;4;4;4;4
"301";2;4;4;4;4;4;4;4;4
"302";2;4;4;4;4;4;4;4;4
"303";2;5;7;8;10;12;15;15;15
"304";2;5;7;8;10;13;13;13;13
"305";2;5;7;8;11;11;11;17;19
"306";2;5;7;8;11;11;11;17;19
"307";2;5;7;8;11;11;11;17;19
"308";2;5;7;8;11;11;11;17;18
"309";2;5;7;8;10;12;15;15;15
"310";2;5;7;8;11;11;11;17;18
"311";2;5;7;8;11;11;11;17;18
