"";"V1"
"1";4
"2";4
"3";3
"4";3
"5";2
"6";0
"7";3
"8";0
"9";0
"10";0
"11";2
"12";0
"13";0
"14";0
"15";0
"16";0
"17";0
"18";0
"19";3
"20";0
"21";2
"22";0
"23";0
"24";2
"25";2
"26";0
"27";0
"28";2
"29";2
"30";2
"31";0
"32";2
"33";2
"34";2
"35";0
"36";0
"37";0
"38";0
"39";0
"40";0
"41";0
"42";2
"43";4
"44";2
"45";2
"46";2
"47";0
"48";2
"49";2
"50";2
"51";0
"52";3
"53";2
"54";2
"55";2
"56";2
"57";1
"58";2
"59";2
"60";2
"61";2
"62";2
"63";2
"64";2
"65";3
"66";3
"67";2
"68";2
"69";2
"70";2
"71";4
"72";3
"73";3
"74";3
"75";0
"76";4
"77";0
"78";3
"79";2
"80";2
"81";2
"82";2
"83";2
"84";1
"85";3
"86";4
"87";2
"88";2
"89";3
"90";3
"91";3
"92";3
"93";3
"94";2
"95";3
"96";0
"97";0
"98";2
"99";2
"100";0
"101";0
"102";0
"103";0
"104";0
"105";2
"106";2
"107";2
"108";2
"109";3
"110";2
"111";2
"112";2
"113";4
"114";3
"115";3
"116";4
"117";3
"118";4
"119";4
"120";4
"121";2
"122";3
"123";2
"124";4
"125";4
"126";4
"127";1
"128";4
"129";4
"130";4
"131";4
"132";1
"133";3
"134";3
"135";4
"136";2
"137";2
"138";3
"139";3
"140";2
"141";4
"142";3
"143";0
"144";4
"145";0
"146";3
"147";3
"148";3
"149";3
"150";3
"151";0
"152";2
"153";1
"154";2
"155";0
"156";0
"157";4
"158";1
"159";4
"160";3
"161";0
"162";3
"163";3
"164";0
"165";2
"166";3
"167";3
"168";3
"169";3
"170";4
"171";3
"172";3
"173";3
"174";3
"175";3
"176";3
"177";3
"178";3
"179";3
"180";4
"181";3
"182";1
"183";4
"184";2
"185";4
"186";3
"187";3
"188";3
"189";0
"190";3
"191";4
"192";0
"193";0
"194";0
"195";0
"196";0
"197";3
"198";3
"199";3
"200";3
"201";3
"202";3
"203";3
"204";4
"205";1
"206";2
"207";2
"208";2
"209";2
"210";4
"211";4
"212";3
"213";3
"214";4
"215";4
"216";3
"217";2
"218";3
"219";0
"220";3
"221";4
"222";4
"223";1
"224";4
"225";4
"226";4
"227";4
"228";4
"229";2
"230";2
"231";4
"232";2
"233";3
"234";4
"235";4
"236";3
"237";2
"238";2
"239";2
"240";4
"241";1
"242";1
"243";2
"244";4
"245";1
"246";2
"247";1
"248";2
"249";1
"250";2
"251";2
"252";2
"253";4
"254";2
"255";2
"256";2
"257";1
"258";2
"259";2
"260";2
"261";2
"262";2
"263";2
"264";2
"265";2
"266";4
"267";2
"268";2
"269";2
"270";3
"271";2
"272";2
"273";3
"274";3
"275";3
"276";1
"277";3
"278";2
"279";0
"280";2
"281";2
"282";2
"283";0
"284";0
"285";2
"286";1
"287";2
"288";2
"289";3
"290";2
"291";2
"292";0
"293";0
"294";4
"295";4
"296";4
"297";3
"298";2
