"";"classe 1";"classe 2";"classe 3";"classe 4"
"yeah";1;0,017;1;0,653
"um";1;0;1;1
"person";1;0,089;0,251;1
"uh";1;0,005;1;0,28
"thing";1;0,654;0,406;0,944
"crazy";1;0,039;1;0,756
"guy";1;1;0,091;0
"good";0,079;0,722;1;1
"trump";1;1;0,083;0
"time";1;1;0,696;0,126
"government";0,002;1;0,019;1
"big";1;0;1;1
"bad";1;0,003;1;1
"video";0;1;1;1
"kind";1;0,141;0,227;1
"year";1;1;1;0,004
"squirrel";1;1;0;1
"state";0,477;1;0,983;0,412
"talk";1;0,008;1;1
"leave";1;1;0;0,703
"happen";1;0,009;1;1
"man";1;0,009;0,329;1
"sort";1;1;0,456;0,088
"phone";0;1;1;1
"illegal";1;0,044;1;1
"play";1;0,179;0,882;1
"vote";1;0,813;0,058;1
"put";1;0,018;1;1
"kill";1;1;0;1
"woman";1;0,05;1;0,288
"medium";1;1;0;0,987
"car";1;0;1;1
"work";0,118;0,058;1;1
"weird";1;0,003;1;1
"real";0,823;1;0,64;1
"democrat";1;1;1;0
"watch";1;0,46;1;0,05
"run";0,9;1;1;0
"give";1;1;1;0,002
"call";0,052;1;1;0,02
"basically";0,004;0,881;1;1
"sense";0,823;0,154;1;1
"point";1;1;1;0,001
"lie";1;1;1;0
"insane";1;1;1;0,002
"war";1;1;1;0
"show";0,978;1;0,056;1
"agency";0;1;1;1
"twitter";1;0,829;0,976;0,243
"post";1;1;0;1
"freedom";1;1;0;1
"election";1;1;0,498;0,008
"company";1;0;1;1
"back";1;0,231;0,152;1
"stuff";0;1;0,737;1
"long";0,152;0,231;1;1
"life";1;0,003;1;1
"totally";1;1;0,001;1
"america";0,978;0,005;1;1
"reason";1;1;0,019;1
"problem";1;0;1;1
"literally";0,202;0,883;1;0,775
"great";1;0,092;1;1
"find";1;1;0;1
"cuz";0,311;1;0,078;0,554
"bunch";1;1;0,019;0,987
"win";1;1;0;1
"pretty";0,045;0,092;1;1
"president";1;1;1;0
"idea";1;1;1;0,183
"fact";1;1;0,437;0,001
"attack";1;1;1;0
"world";1;1;0,001;1
"true";1;1;0;1
"super";1;0,003;1;1
"stop";1;0,883;1;0,132
"robot";1;0,002;1;1
"hard";0,052;1;0,796;1
"country";0,052;1;1;1
"change";1;0,024;1;1
"wrong";1;1;0;1
"top";0,985;1;0,179;0,677
"push";1;1;0;1
"move";0,203;0,394;1;1
"feel";1;0,087;1;0,554
"support";1;1;1;0
"start";1;0,149;1;0,93
"speech";1;1;0;1
"issue";1;0;1;1
"house";1;1;0,336;0,099
"fine";1;1;1;0
"create";0;1;1;1
"roast";1;1;1;0,006
"pay";0,017;1;1;0,032
"meth";1;0,004;1;1
"lose";1;0,237;0,833;1
"line";1;1;1;0,019
"history";1;0,005;1;1
"hear";1;0,028;1;1
"exist";0,69;1;0,666;1
"drug";0,584;0,07;1;1
"argument";1;1;0;1
"wild";1;1;0,244;0,06
"turn";0,266;1;1;0,025
"pet";1;1;0;1
"numb";0,69;0,142;1;1
"movie";0,017;1;0,535;1
"money";0;1;1;1
"level";0,052;1;0,796;0,805
"interest";0,017;0,244;1;1
"information";0,203;1;0,001;1
"hour";1;0,813;1;0,249
"high";1;0,009;1;1
"control";1;1;0,001;1
"she_s";1;1;1;0
"free";1;1;0,285;0,29
"essentially";1;0;1;1
"deal";1;0;1;1
"day";1;0,028;1;1
"build";1;0,004;1;1
"base";0,369;1;0,285;1
"account";1;1;0,001;1
"youtube";0,001;1;1;0,169
"walk";1;0,002;1;1
"understand";1;1;0,014;0,991
"term";0,055;0,643;1;1
"system";1;0,07;1;1
"social";1;1;0;1
"sleep";1;0,004;1;1
"research";1;1;0,031;0,543
"release";1;1;0,054;1
"place";1;1;0,003;1
"party";1;1;0,008;0,504
"note";1;1;0;1
"misinformation";1;1;0;1
"love";1;0,406;1;0,991
"legal";1;0,643;0,833;1
"law";0;1;1;1
"kick";1;1;1;0
"job";0;1;1;1
"imagine";1;0,028;1;1
"guess";1;0,028;1;1
"glass";0,7;1;1;1
"function";1;1;1;0,002
"democracy";1;1;0,001;1
"debate";1;1;0,005;0,29
"community";1;1;0;1
"buy";1;0,002;1;1
"bite";1;1;0;1
"amendment";1;1;0,005;0,841
"tesla";0;1;1;1
"tariff";0,477;0,028;1;1
"situation";1;0,002;1;1
"read";0,985;1;0,024;1
"obama";1;1;1;0
"million";1;0,604;0,165;1
"massive";0,055;1;0,833;1
"john";1;1;0;1
"important";1;0,406;0,101;1
"hey";1;1;0,406;0,015
"head";1;1;0,165;1
"gun";1;0,385;0,633;1
"friend";0,093;0,406;1;1
"fast";1;0,009;1;1
"die";1;1;0,67;0,183
"correct";1;1;0;0,841
"chimp";1;0,412;0,327;1
"chance";1;0,218;1;1
"absolutely";1;0,406;0,101;1
"word";0,011;1;1;1
"week";1;1;0,983;0,015
"virus";1;1;1;0
"type";1;1;0,054;1
"total";1;1;0,001;0,677
"stay";0,369;1;0,833;1
"spacex";0,527;0,179;1;1
"sound";0,985;0,962;0,67;1
"simple";0,011;1;1;1
"side";1;1;1;0,008
"service";0;1;1;1
"regulation";0,266;0,112;1;1
"protect";0,266;1;0,67;1
"propaganda";1;1;0,005;1
"primary";1;1;1;0
"part";1;0,009;1;1
"organization";1;1;0,054;0,055
"nut";0,369;1;1;0,841
"hoax";1;1;0,054;0,055
"god";1;0,218;1;0,504
"giant";0;1;1;1
"full";0;1;1;1
"dog";1;1;0;1
"difference";1;0,002;1;1
"decide";1;0,237;1;0,841
"cool";0,369;0,237;1;1
"completely";0,027;0,413;1;1
"case";0,985;0,962;0,179;1
"bring";1;1;0,833;0,055
"anymore";1;1;0,008;1
"wake";1;0,018;1;1
"tv";1;0,385;1;0,637
"transgender";1;0,018;1;1
"suppose";1;1;1;0,04
"sudden";0,266;0,112;1;1
"strange";1;0,962;1;0,025
"rule";0,985;0,112;1;1
"rocket";0,172;0,218;1;1
"republican";1;1;1;0
"realize";1;1;1;0,055
"race";1;0,039;1;1
"puppet";1;1;0,174;0,177
"pretend";1;1;1;0,04
"minute";1;1;1;0
"matter";1;0,009;1;1
"manufacture";0,172;0,218;1;1
"live";1;1;0;1
"listen";0,172;1;1;0,504
"lawsuit";0;1;1;1
"kid";1;0,009;1;1
"joke";0,7;1;1;0,04
"humor";1;0,008;1;1
"hate";1;1;0,054;0,055
"fly";1;0,218;1;0,504
"flat";1;1;1;0
"dollar";0;1;1;1
"dick";1;1;1;0,332
"campaign";1;1;1;0
"biden";1;1;1;0
"arrest";1;1;0,174;0,887
"apple";0;1;1;1
"app";1;0,004;1;1
"amount";0;1;1;1
"actual";1;1;0;1
"york";1;0,039;1;1
"worth";0,093;1;0,327;1
"vast";0,335;1;1;0,637
"train";1;0,689;1;0,504
"ton";0;1;1;1
"test";1;0,179;1;0,887
"stupid";0,172;1;0,498;1
"square";0,335;1;1;0,637
"spend";0;1;1;1
"sit";0,027;1;1;0,183
"signal";0;1;1;1
"send";0;1;1;1
"sell";0,7;0,084;1;1
