joe	6
rogan	4
experience	3
elon	3
youtube	11
watch	25
podcast	7
check	6
train	7
day	12
night	4
uh	208
sort	30
future	7
basically	25
top	16
totally	20
dominate	4
china	3
yeah	375
bite	11
korea	5
world	17
wow	4
worth	7
list	4
actual	8
interest	13
um	282
talk	33
good	59
person	281
video	39
game	29
important	10
difficult	6
require	6
stress	5
cuz	19
hard	17
play	29
concentrate	3
fully	7
calm	4
effect	4
force	6
find	19
kind	39
mental	5
shoot	8
move	16
thing	155
clean	4
mind	6
read	10
surgeon	6
error	3
manual	5
dexterity	4
sense	24
completely	9
epic	3
skill	4
order	3
fast	10
reaction	3
player	4
incredible	5
rank	6
type	9
extremely	5
high	13
screen	3
react	4
time	54
imagine	11
hey	10
understand	11
test	7
hand	5
click	7
wrong	16
lose	14
necessarily	3
quake	7
rise	5
period	3
human	5
back	22
love	11
college	4
put	28
news	5
super	17
fun	5
guy	63
land	5
start	15
addict	7
line	14
house	15
computer	4
buy	11
suck	3
involve	3
golf	6
guess	11
walk	11
friend	10
hit	4
cool	9
term	11
amount	8
large	4
hear	14
sound	9
rocket	8
fly	8
jamie	3
nut	9
addictive	3
hour	13
sport	4
beat	6
dismiss	4
waste	3
show	23
real	26
benefit	7
town	3
fact	18
clear	7
post	22
case	9
tire	3
brain	5
work	26
immediately	7
state	35
fine	15
feel	16
family	3
covid	3
operate	3
level	13
form	4
sleep	11
busy	6
word	9
massive	10
huge	7
minute	8
wake	8
cu	6
bad	40
creatine	4
apparently	4
weird	26
part	9
food	4
woman	27
big	40
performance	3
deprive	3
increase	5
pretty	18
steak	4
meat	4
animal	3
base	12
egg	3
crash	3
stay	9
flat	8
eat	6
run	25
essentially	12
great	19
head	10
numb	13
global	6
warm	3
true	17
matter	8
problem	19
factory	6
farm	3
carbon	3
difference	9
propaganda	9
product	4
green	4
energy	3
generally	6
push	16
financial	3
reason	19
measure	4
funny	7
speak	5
crazy	66
absolutely	10
literally	19
today	5
direction	3
twitter	22
change	17
history	14
road	3
path	4
censorship	5
control	13
narrative	6
medium	27
social	11
suppress	5
information	13
government	45
effort	3
intelligence	4
